source_id,source_name,subsector,iso3,hotmaps_process,lt_share,heat_mwh,shape_day_night,shape_cv,lcoh_flat,lcoh_profile,dlcoh,dlcoh_pct,rel_flat,rel_profile,met_flat,met_profile,S_flat,S_profile,E_flat,E_profile,dE_pct
32438666,Drogeheda Cement Plant,cement,IRL,non_metalic_minerals,0.0,761718.5466050183,1.0261477917096968,0.01384599325807863,161.0891460088943,160.96279808686413,-0.12634792203016332,-0.07843354140271326,89.99999999999999,90.0,True,True,1684.2402521643855,1684.7729627100443,1453.6258739344596,1442.5984338965682,-0.758616108561964
32438317,Ennigerloh Cement Plant,cement,DEU,non_metalic_minerals,0.0,218156.2806204665,1.0261410694475432,0.013844703334114482,182.51419467702786,182.3444192378652,-0.16977543916266313,-0.09302040285857936,90.00000000000001,90.0,True,True,747.2116633163059,747.2116633163045,441.386069320551,438.23573782335006,-0.7137360501772024
32438878,Rumelange Cement Plant,cement,LUX,non_metalic_minerals,0.0,11979.072723911677,1.026141290610173,0.013844743441598592,194.4750682645465,194.34085981160192,-0.13420845294459127,-0.06901062133168971,90.0,90.0,True,True,38.22889983732067,38.228899837320554,25.346024253180868,25.2092775880866,-0.5395191913663018
32267409,Poland,chemicals,POL,chemicals_and_petrochemicals,0.7,1339244.2177312623,1.023069272638739,0.011337455111659631,132.51651766320936,132.3796213368534,-0.13689632635595217,-0.10330510397494302,89.99999999999999,90.00000000000001,True,True,2392.5895856400616,2392.589585640065,2730.9716824807424,2715.377405419716,-0.571015699689017
33999044,HUN-Várpalota_ammonia,chemicals,HUN,chemicals_and_petrochemicals,0.0,396261.5603371924,1.0230715594911157,0.011338392818611211,115.99178436657036,115.83645290599381,-0.1553314605765479,-0.13391591604940903,90.00000000000001,90.00000000000001,True,True,600.6195181564227,600.619518156422,754.5775987858618,749.3421364047264,-0.6938269025689957
45257036,Azomures Targu Mures Fertilizers,chemicals,ROU,chemicals_and_petrochemicals,0.0,84923.79491638034,1.023064816462999,0.011335688843551975,100.0020094986823,99.85915915996324,-0.1428503387190574,-0.1428474682010662,90.0,90.0,True,True,98.17549648612331,98.1912840306645,161.71539120084228,160.59336631109622,-0.693826902568946
38481043,"Nanta, S.A.U. Las Palas",food-beverage-tobacco,ESP,food_and_tobacco,0.8354521625163827,1323411.2720874422,1.0230078862960783,0.011290382765044368,31.146959905439644,31.01591185591443,-0.13104804952521576,-0.42074106083890694,89.99999999999997,89.99999999999999,True,True,328.25346025637737,328.34366183182846,1961.638496602009,1946.4624927211726,-0.7736391749613664
38480294,Capdéa - Site De Marigny,food-beverage-tobacco,FRA,food_and_tobacco,0.8354521625163828,57330.75473043267,1.0230073112217821,0.011290150350848826,69.99344184850547,69.85521854889038,-0.13822329961509183,-0.19748035810878364,90.0,90.0,True,True,58.18122637675701,58.18165117744335,109.17158657594555,108.49585638423311,-0.6189615933101538
38480301,"Moravskoslezské Cukrovary, A.S. O.Z. Opava",food-beverage-tobacco,CZE,food_and_tobacco,0.8354521625163827,2615.5009252853524,1.0230083582207836,0.011290574653375785,79.81980424385995,79.67961365996904,-0.140190583890913,-0.17563383576162678,90.0,90.0,True,True,2.6815724420668694,2.6819718733638758,5.051189126005772,5.018108493812468,-0.6549078121622905
38468988,"Závod Řetenice, Coating, Vedení Společnosti",glass,CZE,non_metalic_minerals,0.22273538030322335,585646.3447034667,1.0261410397341684,0.01384469798154366,111.84479608698447,111.66911719147333,-0.17567889551114035,-0.1570738216327119,89.99999999999999,90.00000000000001,True,True,955.2404898790403,955.1210519048532,1045.1521401242942,1036.96685593567,-0.7831667634197906
38469169,Vetropack Austria Gmbh,glass,AUT,non_metalic_minerals,0.22273538030322335,84891.51844161842,1.0261424862675905,0.013844963155709598,98.42742268359352,98.25173400298496,-0.1756886806085589,-0.17849566291431887,89.99999999999999,90.0,True,True,117.39674567570597,117.42274008937387,161.65392900702668,160.26376303859212,-0.8599642315988075
38469196,Agc Flat Glass Europe - Site De Roux  (Ex-Glaverbel Sa),glass,BEL,non_metalic_minerals,0.22273538030322332,13473.553715917247,1.026138632314285,0.013844271935103417,146.9973843187091,146.82907124934644,-0.16831306936265378,-0.1145007240385513,89.99999999999999,90.0,True,True,34.24808355573775,34.24808355573779,26.014065084594478,25.821173327078625,-0.741490254939366
1566890,Finarvedi Cremona steel plant,iron-and-steel,ITA,iron_and_steel,0.0031299904183966776,1309699.983615775,1.0171449686766907,0.007642990029735916,70.24999172755811,70.16536020162158,-0.08463152593652978,-0.12047193722775912,89.99999999999999,89.99999999999999,True,True,1222.9139506603688,1223.088485843233,2334.150608694614,2323.938870074654,-0.43749270428060266
1567007,Ferrostal Labedy Gliwice steel plant,iron-and-steel,POL,iron_and_steel,0.0031299904183966776,181293.20560057004,1.0171449686539127,0.007642990002612242,184.63820387185842,184.57393581750932,-0.06426805434909966,-0.03480756040808467,90.0,90.0,True,True,479.4250940086609,479.42509400866106,369.62637718720737,368.6353390837138,-0.2681188802149872
1566902,Feralpi Calvisano steel plant,iron-and-steel,ITA,iron_and_steel,0.0031299904183966767,16433.193780100646,1.0171449686766907,0.007642990029735916,70.52322656078833,70.43980606557186,-0.08342049521647255,-0.11828797303334847,89.99999999999999,90.0,True,True,14.982721659330219,14.982721659330222,31.29276504241144,31.176162394657727,-0.37261855127113064
38467722,"Calmit, Spol. S.R.O. -Výroba Vápna A Lom Vápenca",lime,SVK,non_metalic_minerals,0.0,328460.6611028896,1.0261412919323707,0.013844743683885375,146.40548783338562,146.2191302839517,-0.18635754943392158,-0.12728863664318563,90.0,90.0,True,True,698.7492237869922,698.7492237869915,659.0978359419269,653.8913580844574,-0.7899400625445615
31716811,South Lime Ltd,lime,ITA,non_metalic_minerals,0.0,69836.79972253338,1.0261400378986727,0.013844518333953795,51.21449928270339,51.017760492502795,-0.19673879020059815,-0.38414666345677323,90.00000000000001,90.0,True,True,41.38802088137171,41.38522682982608,118.36224535066883,117.20613300446873,-0.9767577007135331
38467591,Calmit Hungária Kft.,lime,HUN,non_metalic_minerals,0.0,35715.64217530909,1.0261410959677644,0.013844708243017256,121.6581185252424,121.52391007229828,-0.13420845294412231,-0.11031606815148624,90.00000000000001,90.0,True,True,55.7131193360064,55.71311933600637,76.93392024103008,76.52620963840343,-0.5299490801317727
18648365,"Dow Chemical Co. , Terneuzen (No. 1) ",petrochemical-steam-cracking,NLD,chemicals_and_petrochemicals,0.0,12035651.081255373,1.0230687063082025,0.01133722648859741,38.20625616377242,38.20625616377224,-1.8474111129762605e-13,-4.835362839680679e-13,7.906639997600083,7.906639997599821,False,False,862.1270729021146,862.1270729020817,0.0,0.0,
18648357,"Dow Chemical Co. , Bohlen ",petrochemical-steam-cracking,DEU,chemicals_and_petrochemicals,0.0,3739532.8502660417,1.0230677387747649,0.011336838455080706,55.51095010225132,55.107474128889216,-0.40347597336210583,-0.7268403308156355,31.03543784846438,31.035437848464298,False,False,1045.9066020820646,1045.9066020820646,1966.0007154317573,1921.7455396458636,-2.2510254161415566
18648373,"Repsol SA , Puertollano ",petrochemical-steam-cracking,ESP,chemicals_and_petrochemicals,0.0,667062.647914669,1.023068881020786,0.011337296834691576,53.331984293600385,53.19440181814311,-0.13758247545727187,-0.2579736667960078,90.00000000000003,90.0,True,True,405.840420923117,405.8281734626119,1116.4801571993985,1108.7315153090854,-0.6940241472584688
44375635,Mondi Świecie S.A.,pulp-and-paper,POL,paper,0.9674418604651164,603350.1630055452,1.0268469531668973,0.01444630760441231,151.44998465497622,151.29417433037688,-0.15581032459934363,-0.10287906265180605,90.0,90.0,True,True,1255.8809461726257,1255.8809461726269,1282.2273993648373,1274.2312787056712,-0.6236117449312837
44375546,Saillat-sur-Vienne Pulp and Paper Mill,pulp-and-paper,FRA,paper,0.9731800766283525,161529.06513417547,1.0268422549167513,0.014445640435905389,62.90479326464274,62.74056128040806,-0.16423198423468222,-0.2610802384227738,90.00000000000001,90.0,True,True,139.5162946136697,139.55154356245663,307.5903047455677,305.1932284947152,-0.779308129635408
44375538,Pietarsaari Pulp Mill,pulp-and-paper,FIN,paper,0.9731800766283524,7017.655982512986,1.0268430496208845,0.01444574847130058,644.0036396709556,643.8633094766569,-0.14033019429871274,-0.021790279690098092,90.0,90.0,True,True,72.10831476754043,72.10831476754043,15.868930410792567,15.785166513963272,-0.5278484098230479
